"2010 Census Tract Number FIPS code. GEOID","OMB Metro/Non-metro Designation, July 2015 (OMB 15-01)","Census Tract Percent of Benchmarked Median Family Income (%) 2011-2015 ACS","Urban Low Income Community (yes, no)"
"01001020100","Metropolitan","  122.93 ","no"
"01001020200","Metropolitan","  82.40 ","no"
"01001020300","Metropolitan","  94.26 ","no"
"01001020400","Metropolitan","  116.82 ","no"
"01001020500","Metropolitan","  127.74 ","no"
"01001020600","Metropolitan","  111.98 ","no"
"01001020700","Metropolitan","  65.32 ","yes"
"01001020801","Metropolitan","  126.31 ","no"
"01001020802","Metropolitan","  123.60 ","no"
"01001020900","Metropolitan","  84.81 ","no"
"01001021000","Metropolitan","  97.42 ","no"
"01001021100","Metropolitan","  79.44 ","yes"
"01003010100","Metropolitan","  87.00 ","no"
"01003010200","Metropolitan","  55.51 ","yes"
"01003010300","Metropolitan","  95.91 ","no"
"01003010400","Metropolitan","  91.63 ","no"
"01003010500","Metropolitan","  95.39 ","no"
"01003010600","Metropolitan","  70.26 ","yes"
"01003010701","Metropolitan","  155.82 ","no"
"01003010703","Metropolitan","  151.48 ","no"
"01003010704","Metropolitan","  111.51 ","no"
"01003010705","Metropolitan","  91.63 ","no"
"01003010800","Metropolitan","  100.02 ","no"
"01003010903","Metropolitan","  89.28 ","no"
"01003010904","Metropolitan","  84.76 ","no"
"01003010905","Metropolitan","  89.75 ","no"
"01003010906","Metropolitan","  81.39 ","no"
"01003011000","Metropolitan","  67.84 ","yes"
"01003011101","Metropolitan","  116.18 ","no"
"01003011102","Metropolitan","  111.66 ","no"
"01003011201","Metropolitan","  127.93 ","no"
"01003011202","Metropolitan","  113.72 ","no"
"01003011300","Metropolitan","  146.06 ","no"
"01003011401","Metropolitan","  89.29 ","no"
"01003011403","Metropolitan","  102.86 ","no"
"01003011405","Metropolitan","  127.72 ","no"
"01003011406","Metropolitan","  79.38 ","yes"
"01003011407","Metropolitan","  81.86 ","no"
"01003011408","Metropolitan","  118.43 ","no"
"01003011501","Metropolitan","  94.35 ","no"
"01003011502","Metropolitan","  78.70 ","yes"
"01003011601","Metropolitan","  69.39 ","yes"
"01003011602","Metropolitan","  87.70 ","no"
"01003990000","Metropolitan","N/A","no"
"01005950100","Non-Metropolitan","  98.87 ","no"
"01005950200","Non-Metropolitan","  81.08 ","no"
"01005950300","Non-Metropolitan","  68.76 ","yes"
"01005950400","Non-Metropolitan","  83.22 ","no"
"01005950500","Non-Metropolitan","  74.06 ","yes"
"01005950600","Non-Metropolitan","  54.58 ","yes"
"01005950700","Non-Metropolitan","  60.53 ","yes"
"01005950800","Non-Metropolitan","  91.55 ","no"
"01005950900","Non-Metropolitan","  71.92 ","yes"
"01007010001","Metropolitan","  78.54 ","yes"
"01007010002","Metropolitan","  69.71 ","yes"
"01007010003","Metropolitan","  81.62 ","no"
"01007010004","Metropolitan","  62.90 ","yes"
"01009050101","Metropolitan","  94.58 ","no"
"01009050102","Metropolitan","  83.71 ","no"
"01009050200","Metropolitan","  84.59 ","no"
"01009050300","Metropolitan","  76.92 ","yes"
"01009050400","Metropolitan","  79.64 ","yes"
"01009050500","Metropolitan","  77.28 ","yes"
"01009050601","Metropolitan","  87.78 ","no"
"01009050602","Metropolitan","  114.98 ","no"
"01009050700","Metropolitan","  80.80 ","no"
"01011952100","Non-Metropolitan","  76.85 ","yes"
"01011952200","Non-Metropolitan","  81.31 ","no"
"01011952500","Non-Metropolitan","  74.90 ","yes"
"01013952700","Non-Metropolitan","  82.16 ","no"
"01013952800","Non-Metropolitan","  104.26 ","no"
"01013952900","Non-Metropolitan","  65.95 ","yes"
"01013953000","Non-Metropolitan","  85.42 ","no"
"01013953100","Non-Metropolitan","  41.55 ","yes"
"01013953200","Non-Metropolitan","  78.64 ","yes"
"01013953300","Non-Metropolitan","  94.38 ","no"
"01013953400","Non-Metropolitan","  68.99 ","yes"
"01013953500","Non-Metropolitan","  82.02 ","no"
"01015000200","Metropolitan","  52.70 ","yes"
"01015000300","Metropolitan","  26.70 ","yes"
"01015000400","Metropolitan","  63.53 ","yes"
"01015000500","Metropolitan","  34.35 ","yes"
"01015000600","Metropolitan","  21.95 ","yes"
"01015000700","Metropolitan","  58.62 ","yes"
"01015000800","Metropolitan","  53.86 ","yes"
"01015000900","Metropolitan","  119.17 ","no"
"01015001000","Metropolitan","  101.13 ","no"
"01015001100","Metropolitan","  102.56 ","no"
"01015001201","Metropolitan","  70.96 ","yes"
"01015001202","Metropolitan","  116.08 ","no"
"01015001300","Metropolitan","  80.46 ","no"
"01015001400","Metropolitan","  79.97 ","yes"
"01015001500","Metropolitan","  90.85 ","no"
"01015001600","Metropolitan","  69.24 ","yes"
"01015001700","Metropolitan","  111.10 ","no"
"01015001800","Metropolitan","  95.97 ","no"
"01015002000","Metropolitan","  108.46 ","no"
"01015002101","Metropolitan","N/A","no"
"01015002102","Metropolitan","  109.01 ","no"
"01015002103","Metropolitan","  85.50 ","no"
"01015002200","Metropolitan","  85.29 ","no"
"01015002300","Metropolitan","  64.59 ","yes"
"01015002400","Metropolitan","  120.67 ","no"
"01015002501","Metropolitan","  111.66 ","no"
"01015002502","Metropolitan","  98.62 ","no"
"01015002600","Metropolitan","  108.45 ","no"
"01015981901","Metropolitan","N/A","no"
"01015981902","Metropolitan","N/A","no"
"01015981903","Metropolitan","N/A","no"
"01017953800","Non-Metropolitan","  93.23 ","no"
"01017953900","Non-Metropolitan","  75.12 ","yes"
"01017954000","Non-Metropolitan","  75.32 ","yes"
"01017954200","Non-Metropolitan","  88.09 ","no"
"01017954300","Non-Metropolitan","  112.56 ","no"
"01017954400","Non-Metropolitan","  43.62 ","yes"
"01017954500","Non-Metropolitan","  66.42 ","yes"
"01017954600","Non-Metropolitan","  80.29 ","no"
"01017954700","Non-Metropolitan","  83.70 ","no"
"01019955701","Non-Metropolitan","  74.54 ","yes"
"01019955702","Non-Metropolitan","  62.68 ","yes"
"01019955800","Non-Metropolitan","  85.48 ","no"
"01019955900","Non-Metropolitan","  83.37 ","no"
"01019956000","Non-Metropolitan","  89.94 ","no"
"01019956100","Non-Metropolitan","  90.28 ","no"
"01021060101","Metropolitan","  79.46 ","yes"
"01021060102","Metropolitan","  75.67 ","yes"
"01021060200","Metropolitan","  95.15 ","no"
"01021060300","Metropolitan","  88.94 ","no"
"01021060401","Metropolitan","  95.56 ","no"
"01021060402","Metropolitan","  71.11 ","yes"
"01021060500","Metropolitan","  106.00 ","no"
"01021060600","Metropolitan","  67.37 ","yes"
"01021060700","Metropolitan","  85.36 ","no"
"01023956700","Non-Metropolitan","  100.74 ","no"
"01023956800","Non-Metropolitan","  82.48 ","no"
"01023956900","Non-Metropolitan","  95.66 ","no"
"01023957000","Non-Metropolitan","  59.13 ","yes"
"01025957500","Non-Metropolitan","  71.77 ","yes"
"01025957601","Non-Metropolitan","  89.22 ","no"
"01025957602","Non-Metropolitan","  89.78 ","no"
"01025957700","Non-Metropolitan","  82.82 ","no"
"01025957800","Non-Metropolitan","  84.73 ","no"
"01025957901","Non-Metropolitan","  90.47 ","no"
"01025957902","Non-Metropolitan","  89.98 ","no"
"01025958001","Non-Metropolitan","  61.36 ","yes"
"01025958002","Non-Metropolitan","  78.52 ","yes"
"01027958900","Non-Metropolitan","  104.45 ","no"
"01027959000","Non-Metropolitan","  70.59 ","yes"
"01027959100","Non-Metropolitan","  73.31 ","yes"
"01027959200","Non-Metropolitan","  70.36 ","yes"
"01029959500","Non-Metropolitan","  75.88 ","yes"
"01029959600","Non-Metropolitan","  73.61 ","yes"
"01029959700","Non-Metropolitan","  95.08 ","no"
"01029959800","Non-Metropolitan","  96.28 ","no"
"01031010100","Non-Metropolitan","  87.71 ","no"
"01031010200","Non-Metropolitan","  84.39 ","no"
"01031010300","Non-Metropolitan","  109.60 ","no"
"01031010400","Non-Metropolitan","  77.84 ","yes"
"01031010500","Non-Metropolitan","  80.59 ","no"
"01031010600","Non-Metropolitan","  82.93 ","no"
"01031010700","Non-Metropolitan","  89.72 ","no"
"01031010800","Non-Metropolitan","  125.73 ","no"
"01031010900","Non-Metropolitan","  70.02 ","yes"
"01031011000","Non-Metropolitan","  91.29 ","no"
"01031011100","Non-Metropolitan","  101.19 ","no"
"01031011201","Non-Metropolitan","  175.51 ","no"
"01031011202","Non-Metropolitan","  134.42 ","no"
"01031011300","Non-Metropolitan","  50.64 ","yes"
"01033020100","Metropolitan","  73.97 ","yes"
"01033020200","Metropolitan","  99.38 ","no"
"01033020300","Metropolitan","  50.36 ","yes"
"01033020400","Metropolitan","  93.45 ","no"
"01033020500","Metropolitan","  105.38 ","no"
"01033020600","Metropolitan","  88.73 ","no"
"01033020701","Metropolitan","  119.20 ","no"
"01033020703","Metropolitan","  114.08 ","no"
"01033020704","Metropolitan","  104.93 ","no"
"01033020801","Metropolitan","  95.90 ","no"
"01033020802","Metropolitan","  70.92 ","yes"
"01033020901","Metropolitan","  90.03 ","no"
"01033020902","Metropolitan","  84.38 ","no"
"01033021000","Metropolitan","  83.91 ","no"
"01035960200","Non-Metropolitan","  68.86 ","yes"
"01035960300","Non-Metropolitan","  64.98 ","yes"
"01035960400","Non-Metropolitan","  58.35 ","yes"
"01035960500","Non-Metropolitan","  54.85 ","yes"
"01035960600","Non-Metropolitan","  44.98 ","yes"
"01037961000","Non-Metropolitan","  65.73 ","yes"
"01037961100","Non-Metropolitan","  81.78 ","no"
"01037961200","Non-Metropolitan","  83.84 ","no"
"01039961600","Non-Metropolitan","  99.08 ","no"
"01039961700","Non-Metropolitan","  79.77 ","yes"
"01039961800","Non-Metropolitan","  86.84 ","no"
"01039961900","Non-Metropolitan","  91.52 ","no"
"01039962000","Non-Metropolitan","  79.14 ","yes"
"01039962100","Non-Metropolitan","  48.80 ","yes"
"01039962300","Non-Metropolitan","  89.53 ","no"
"01039962400","Non-Metropolitan","  105.24 ","no"
"01039962500","Non-Metropolitan","  99.95 ","no"
"01039962600","Non-Metropolitan","  46.30 ","yes"
"01039962700","Non-Metropolitan","  60.00 ","yes"
"01039962800","Non-Metropolitan","  76.92 ","yes"
"01039962900","Non-Metropolitan","  94.41 ","no"
"01039963000","Non-Metropolitan","  64.25 ","yes"
"01041963400","Non-Metropolitan","  96.71 ","no"
"01041963500","Non-Metropolitan","  98.39 ","no"
"01041963600","Non-Metropolitan","  94.11 ","no"
"01041963700","Non-Metropolitan","  84.36 ","no"
"01041963800","Non-Metropolitan","  85.83 ","no"
"01041963900","Non-Metropolitan","  93.03 ","no"
"01043964100","Non-Metropolitan","  84.01 ","no"
"01043964200","Non-Metropolitan","  85.04 ","no"
"01043964300","Non-Metropolitan","  90.41 ","no"
"01043964400","Non-Metropolitan","  91.48 ","no"
"01043964500","Non-Metropolitan","  82.27 ","no"
"01043964600","Non-Metropolitan","  85.10 ","no"
